"fit","lwr","upr","fcastday","Date"
1,1,1,2020-03-21,2020-03-12
2,2,2,2020-03-21,2020-03-13
6,6,6,2020-03-21,2020-03-14
6,6,6,2020-03-21,2020-03-15
7,7,7,2020-03-21,2020-03-16
8,8,8,2020-03-21,2020-03-17
16,16,16,2020-03-21,2020-03-18
20,20,20,2020-03-21,2020-03-19
26,26,26,2020-03-21,2020-03-20
44,44,44,2020-03-21,2020-03-21
63,39,101,2020-03-21,2020-03-22
91,53,157,2020-03-21,2020-03-23
132,72,244,2020-03-21,2020-03-24
192,97,380,2020-03-21,2020-03-25
278,130,592,2020-03-21,2020-03-26
403,176,923,2020-03-21,2020-03-27
584,237,1439,2020-03-21,2020-03-28
846,318,2245,2020-03-21,2020-03-29
1225,428,3502,2020-03-21,2020-03-30
1774,576,5465,2020-03-21,2020-03-31
2570,774,8529,2020-03-21,2020-04-01
3722,1040,13314,2020-03-21,2020-04-02
5390,1398,20784,2020-03-21,2020-04-03
7807,1878,32450,2020-03-21,2020-04-04
11306,2523,50669,2020-03-21,2020-04-05
16374,3388,79122,2020-03-21,2020-04-06
23714,4551,123562,2020-03-21,2020-04-07
34344,6112,192974,2020-03-21,2020-04-09
49739,8208,301394,2020-03-21,2020-04-10
72035,11022,470752,2020-03-21,2020-04-11
104324,14801,735305,2020-03-21,2020-04-12
151087,19874,1148575,2020-03-21,2020-04-13
218812,26685,1794176,2020-03-21,2020-04-14
316893,35829,2802747,2020-03-21,2020-04-15
458939,48105,4378388,2020-03-21,2020-04-16
664657,64586,6839985,2020-03-21,2020-04-17
962587,86711,10685762,2020-03-21,2020-04-18
1394063,116412,16694157,2020-03-21,2020-04-19
2018945,156285,26081425,2020-03-21,2020-04-20
2923929,209811,40747908,2020-03-21,2020-04-21
4234568,281664,63662825,2020-03-21,2020-04-22
6132695,378120,99465513,2020-03-21,2020-04-23
8881649,507601,155404900,2020-03-21,2020-04-24
12862809,681411,242807455,2020-03-21,2020-04-25
18628508,914728,379370947,2020-03-21,2020-04-26
26978657,1227920,592748565,2020-03-21,2020-04-27
39071723,1648329,926149359,2020-03-21,2020-04-28
56585454,2212657,1447089323,2020-03-21,2020-04-29
81949639,2970167,2261065677,2020-03-21,2020-04-30
118683210,3986981,3532924107,2020-03-21,2020-05-01
171882445,5351857,5520247063,2020-03-21,2020-05-02
248928007,7183927,8625526250,2020-03-21,2020-05-03
360508909,9643098,13477687568,2020-03-21,2020-05-04
1,1,1,2020-03-22,2020-03-12
2,2,2,2020-03-22,2020-03-13
6,6,6,2020-03-22,2020-03-14
6,6,6,2020-03-22,2020-03-15
7,7,7,2020-03-22,2020-03-16
8,8,8,2020-03-22,2020-03-17
16,16,16,2020-03-22,2020-03-18
20,20,20,2020-03-22,2020-03-19
26,26,26,2020-03-22,2020-03-20
44,44,44,2020-03-22,2020-03-21
52,52,52,2020-03-22,2020-03-22
75,52,107,2020-03-22,2020-03-23
104,69,158,2020-03-22,2020-03-24
145,91,232,2020-03-22,2020-03-25
202,120,341,2020-03-22,2020-03-26
281,158,501,2020-03-22,2020-03-27
391,208,737,2020-03-22,2020-03-28
545,273,1085,2020-03-22,2020-03-29
758,359,1597,2020-03-22,2020-03-30
1054,472,2351,2020-03-22,2020-03-31
1466,621,3462,2020-03-22,2020-04-01
2040,816,5099,2020-03-22,2020-04-02
2837,1072,7510,2020-03-22,2020-04-03
3947,1408,11062,2020-03-22,2020-04-04
5490,1849,16295,2020-03-22,2020-04-05
